"header","class","mechanism","group","stewartERR2027901","wallaceERR2530126","stewartERR2027926","stewartERR2027907","wallaceERR2282092","stewartERR2027900","shiSRR873597","stewartERR2027892","stewartERR2027894","stewartERR2027906","stewartERR2027895","stewartERR2027897","wallaceERR983265","stewartERR2027922","stewartERR2027898","wallaceERR983264","stewartERR2027915","stewartERR2027929","stewartERR2027928","stewartERR2027904","wallaceERR2530127","stewartERR2027917","wallaceERR983262","stewartERR2027905"
"ICEberg|107|TnB1230|GenBank|AJ222769|1..11849","TnB1230","TnB1230","TnB1230",18387,15623,15347,42787,30979,20333,8154,18872,17201,17684,15727,14362,15290,13120,16959,29895,18949,20941,13815,24348,8637,13373,18952,20553
"ICEberg|169|Tn6107|GenBank|JF422667|1..464","Tn6107","Tn6107","Tn6107",0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ICEberg|192|ICE(Tn4371)6033|GenBank|CP001068|2715199..2769318","ICE(Tn4371)6033","ICE(Tn4371)6033","ICE(Tn4371)6033",0,0,0,0,9887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ICEberg|2|CTn341|GenBank|AY515263|1..51993","CTn341","CTn341","CTn341",0,0,0,0,0,0,0,19687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ICEberg|344|ICEBsa18170-1|GenBank|CP002530|2939772..2990351","ICEBsa18170-1","ICEBsa18170-1","ICEBsa18170-1",0,0,0,14747,16391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18841,0,0,0,0
"ICEberg|345|ICEBxyXB1A-1|GenBank|FP929033|4227232..4279471","ICEBxyXB1A-1","ICEBxyXB1A-1","ICEBxyXB1A-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2959,0,0,0,0,0,0,0
"ICEberg|3|CTnDOT|GenBank|AJ319661|1..3718","CTnDOT","CTnDOT","CTnDOT",0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,0,0,0,0
"ICEberg|3|CTnDOT|GenBank|AJ431573|1..7655","CTnDOT","CTnDOT","CTnDOT",0,0,0,0,0,1221,0,0,548,0,0,0,0,0,0,0,0,0,0,1275,0,0,0,430
"ICEberg|58|ICEBfrYCH46-1|GenBank|AP006841|114653..163822","ICEBfrYCH46-1","ICEBfrYCH46-1","ICEBfrYCH46-1",0,33851,7887,10275,19709,15882,0,0,13266,0,33620,4334,0,6653,30225,34934,0,6797,3681,21974,27886,5735,15453,18859
"ICEberg|65|CTnGERM1|GenBank|AJ557257|1..18842","CTnGERM1","CTnGERM1","CTnGERM1",0,0,0,0,0,17598,0,0,0,25013,0,0,28742,0,0,0,0,0,0,0,0,0,0,0
"ICEberg|92|Tn1549|GenBank|AF192329|1..33805","Tn1549","Tn1549","Tn1549",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597,0,0,0,0,0,0,0,0
"ICEberg|93|TcrEmr7853|GenBank|L42817|1..1076","TcrEmr7853","TcrEmr7853","TcrEmr7853",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
